class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _sequenceValue of an atomic property at line 7973, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,7973,QLFVaultSequenceState_isEqualToVaultSequenceState:,QLFVaultSequenceState_isEqualToVaultSequenceState:{instance}.822b5f8c691b844d4c65a92acfdeecb2,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":7973,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>7973</line></qualifier_tags>,813416265,756,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _sequenceId of an atomic property at line 7983, column 26. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,7983,QLFVaultSequenceState_hash,QLFVaultSequenceState_hash{instance}.4b1095241ef21df0707d954d6a9a5a08,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":7983,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>7983</line></qualifier_tags>,390713442,752,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _sequenceValue of an atomic property at line 7984, column 37. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,7984,QLFVaultSequenceState_hash,QLFVaultSequenceState_hash{instance}.4b1095241ef21df0707d954d6a9a5a08,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":7984,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>7984</line></qualifier_tags>,390713442,753,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _items of an atomic property at line 811, column 36. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,811,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:{instance}.e6f4f767754b66f83b81c0b2c3f4bde3,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":811,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>811</line></qualifier_tags>,928995317,299,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _items of an atomic property at line 811, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,811,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:{instance}.e6f4f767754b66f83b81c0b2c3f4bde3,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":811,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>811</line></qualifier_tags>,928995317,301,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _maxSequenceValue of an atomic property at line 813, column 58. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,813,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:{instance}.e6f4f767754b66f83b81c0b2c3f4bde3,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":813,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>813</line></qualifier_tags>,928995317,302,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _maxSequenceValue of an atomic property at line 813, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,813,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:{instance}.e6f4f767754b66f83b81c0b2c3f4bde3,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":813,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>813</line></qualifier_tags>,928995317,303,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _current of an atomic property at line 815, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,815,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:,QLFConversationQueryItemsResult_isEqualToConversationQueryItemsResult:{instance}.e6f4f767754b66f83b81c0b2c3f4bde3,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":815,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>815</line></qualifier_tags>,928995317,300,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _items of an atomic property at line 825, column 26. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,825,QLFConversationQueryItemsResult_hash,QLFConversationQueryItemsResult_hash{instance}.a054f051b8bcb46213e19603c3c410e0,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":825,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>825</line></qualifier_tags>,959872991,297,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _maxSequenceValue of an atomic property at line 826, column 26. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,826,QLFConversationQueryItemsResult_hash,QLFConversationQueryItemsResult_hash{instance}.a054f051b8bcb46213e19603c3c410e0,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":826,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>826</line></qualifier_tags>,959872991,296,false,
